,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y
100,4.5074331398313365,8.006332333179285,4.8756793256555335,3.146383336994217,5.639381246030054,6.523149501812183,4.064955587768756,5.070539235072062,6.828733930148268,4.1513917977776895,22.959551313997263
101,4.367828286126598,2.8413660471874813,3.937315137000048,4.613105776866544,6.7092102813522185,6.404721936356947,5.999672264491012,4.664339449739988,2.6196936397543578,6.557922560557834,22.95620349049232
102,6.768144338598766,6.6129632901125,3.2789461264812942,4.108199139216844,8.057983812462727,5.632422316880117,3.9751822924252176,5.21083552678779,5.557406601027518,5.576318844830113,22.90259083447211
103,4.029072514019468,3.784676735460636,5.387135884326295,4.85986886564879,5.156912080781503,3.0245817748467605,5.654005144168943,7.408791387263757,4.128099153874134,2.385368340324556,22.965737120931884
104,4.688820355950085,7.911140940206856,4.433305873254714,2.138053075445495,6.046513922967272,6.574903274855849,4.435608733355446,4.393313845998812,6.263749593406854,4.885011007589267,22.704414041247688
105,6.794418718224493,3.597941918249388,6.010256743977486,5.358675527042201,5.485665596320477,4.407843254422419,6.154089909734988,3.853369228613145,1.6872041095889,6.070541202574462,22.831114637027245
106,4.117718719543561,4.883424175242035,1.8276862109071208,6.701664102293527,6.951539198099003,5.925168453998055,3.822644866937026,5.148734816728654,5.10777129860998,7.311039051515223,22.48235091102553
107,6.592608429640105,7.909700684750426,5.322837268762105,3.839400387285136,2.379340814958244,5.615623971715899,5.127490975221685,4.982311495349068,7.271020086120528,4.208986927106849,22.449937676816106
108,4.941347465127775,7.25506076079792,6.729556915902962,2.8824448567149115,2.800508132510672,6.32632736698742,5.072360666533475,4.75755323930157,7.297742149573118,3.696675190333087,22.37966541322377
109,4.618513715066344,5.283968083032053,3.373323564110111,3.969757038219581,1.5935265146551345,2.956347690914386,4.695073440337961,2.7251005247320816,4.204636315525271,3.5286982655425,22.22202971743001
110,5.418815829212413,5.35239493236374,5.290499018130584,2.6011523589682346,5.978821726169091,2.015163424490225,2.314443969881069,5.091224107331183,2.8791990798611584,5.926097037481108,22.141822477994587
111,7.220850980271366,6.580267597358669,4.7667205877693934,4.2700157008228885,5.817182650137293,4.07926517718133,2.118925736992193,5.545432392002419,5.632793449944077,8.177607219731923,22.137203818891784
112,3.294711611330136,3.490959137519643,8.231733328652853,5.381870163613132,7.119754318774672,6.868322533259861,7.128681424173594,4.508755554262919,4.853110055688752,6.230287905936397,21.99330838988759
113,3.026434831040964,3.83757565963874,3.843307492593227,6.607935453114616,7.216303907877182,3.017474643409097,1.5390935901685847,5.326887459912028,6.738581427451378,5.532371780351989,21.6597192715682
114,3.3583570741485502,6.969073361910812,0.8128900906056331,3.4438641356015807,3.880460266139078,5.822943525658051,4.446116952136143,5.375652739860483,5.551119092859735,7.20986711256066,21.590855879411635
115,4.31439742221564,2.499849921068384,4.880868012364716,3.923289952028836,4.28348875371364,8.22883807343149,6.9416355958517615,4.487794184064748,2.0462257201856056,6.469926874090508,21.6249146963555
